mtx_date,mtx_time,mtx_open,mtx_high,mtx_close,mtx_low,mtx_volume,predict
2020-12-16,20:00:00,14228.0,14226.0,14229.0,14224.0,358.0,0
2020-12-16,20:15:00,14226.0,14224.0,14226.0,14218.0,667.0,0
2020-12-16,20:30:00,14225.0,14226.0,14226.0,14223.0,199.0,0
2020-12-16,20:45:00,14226.0,14223.0,14227.0,14222.0,272.0,0
2020-12-16,21:00:00,14223.0,14219.0,14224.0,14215.0,1050.0,0
2020-12-16,21:15:00,14219.0,14215.0,14226.0,14212.0,1202.0,0
2020-12-16,21:30:00,14214.0,14215.0,14216.0,14210.0,1193.0,1
2020-12-16,21:45:00,14215.0,14215.0,14218.0,14213.0,459.0,0
2020-12-16,22:00:00,14215.0,14212.0,14219.0,14212.0,676.0,0
2020-12-16,22:15:00,14211.0,14205.0,14212.0,14198.0,2439.0,0
2020-12-16,22:30:00,14205.0,14182.0,14209.0,14176.0,4444.0,0
2020-12-16,22:45:00,14183.0,14197.0,14200.0,14182.0,2592.0,0
2020-12-16,23:00:00,14197.0,14180.0,14198.0,14180.0,1429.0,0
2020-12-16,23:15:00,14180.0,14190.0,14192.0,14170.0,3078.0,0
2020-12-16,23:30:00,14190.0,14193.0,14198.0,14188.0,1361.0,0
2020-12-16,23:45:00,14193.0,14183.0,14194.0,14182.0,834.0,0
2020-12-17,00:00:00,14183.0,14188.0,14194.0,14180.0,920.0,0
2020-12-17,00:15:00,14189.0,14188.0,14190.0,14182.0,534.0,0
2020-12-17,00:30:00,14189.0,14193.0,14196.0,14186.0,522.0,0
2020-12-17,00:45:00,14192.0,14199.0,14204.0,14192.0,962.0,0
2020-12-17,01:00:00,14199.0,14199.0,14204.0,14198.0,350.0,0
2020-12-17,01:15:00,14198.0,14195.0,14199.0,14191.0,345.0,0
2020-12-17,01:30:00,14195.0,14205.0,14205.0,14193.0,426.0,0
2020-12-17,01:45:00,14204.0,14205.0,14207.0,14198.0,437.0,0
2020-12-17,02:00:00,14204.0,14203.0,14208.0,14197.0,334.0,0
2020-12-17,02:15:00,14203.0,14205.0,14212.0,14201.0,442.0,0
2020-12-17,02:30:00,14204.0,14198.0,14205.0,14198.0,215.0,0
2020-12-17,02:45:00,14199.0,14205.0,14206.0,14198.0,152.0,0
2020-12-17,03:00:00,14205.0,14188.0,14205.0,14180.0,936.0,0
2020-12-17,03:15:00,14188.0,14188.0,14195.0,14180.0,305.0,0
2020-12-17,03:30:00,14188.0,14214.0,14216.0,14187.0,809.0,0
2020-12-17,03:45:00,14214.0,14221.0,14224.0,14211.0,840.0,0
2020-12-17,04:00:00,14222.0,14219.0,14226.0,14213.0,558.0,0
2020-12-17,04:15:00,14218.0,14222.0,14229.0,14216.0,584.0,0
2020-12-17,04:30:00,14222.0,14224.0,14227.0,14217.0,412.0,0
2020-12-17,04:45:00,14225.0,14224.0,14230.0,14223.0,697.0,0
2020-12-17,05:00:00,14225.0,14225.0,14225.0,14224.0,83.0,0
2020-12-17,08:45:00,14222.0,14214.0,14224.0,14202.0,6138.0,1
2020-12-17,09:00:00,14214.0,14204.0,14225.0,14173.0,15213.0,0
2020-12-17,09:15:00,14204.0,14210.0,14223.0,14200.0,9108.0,0
2020-12-17,09:30:00,14209.0,14162.0,14215.0,14153.0,17750.0,0
2020-12-17,09:45:00,14162.0,14138.0,14164.0,14126.0,18564.0,1
2020-12-17,10:00:00,14138.0,14115.0,14153.0,14107.0,12943.0,1
2020-12-17,10:15:00,14114.0,14122.0,14141.0,14113.0,7766.0,1
2020-12-17,10:30:00,14122.0,14103.0,14136.0,14086.0,12706.0,1
2020-12-17,10:45:00,14103.0,14133.0,14140.0,14098.0,7537.0,0
2020-12-17,11:00:00,14133.0,14138.0,14153.0,14126.0,6774.0,0
2020-12-17,11:15:00,14140.0,14124.0,14150.0,14119.0,5256.0,1
2020-12-17,11:30:00,14125.0,14143.0,14143.0,14114.0,4325.0,1
2020-12-17,11:45:00,14142.0,14136.0,14148.0,14131.0,3041.0,0
2020-12-17,12:00:00,14137.0,14108.0,14142.0,14106.0,4472.0,1
2020-12-17,12:15:00,14108.0,14127.0,14130.0,14107.0,3271.0,1
2020-12-17,12:30:00,14128.0,14137.0,14138.0,14123.0,3011.0,0
2020-12-17,12:45:00,14137.0,14175.0,14180.0,14132.0,7318.0,0
2020-12-17,13:00:00,14174.0,14179.0,14190.0,14172.0,7263.0,0
2020-12-17,13:15:00,14179.0,14170.0,14186.0,14167.0,4271.0,0
2020-12-17,13:30:00,14169.0,14184.0,14185.0,14163.0,5045.0,0
2020-12-17,13:45:00,14184.0,14186.0,14188.0,14182.0,768.0,0
2020-12-17,15:00:00,14175.0,14172.0,14178.0,14165.0,2073.0,1
2020-12-17,15:15:00,14172.0,14167.0,14172.0,14160.0,1259.0,0
2020-12-17,15:30:00,14167.0,14172.0,14175.0,14167.0,750.0,0
2020-12-17,15:45:00,14172.0,14170.0,14174.0,14168.0,495.0,0
2020-12-17,16:00:00,14171.0,14175.0,14181.0,14170.0,1159.0,0
2020-12-17,16:15:00,14175.0,14178.0,14179.0,14173.0,380.0,0
2020-12-17,16:30:00,14179.0,14178.0,14184.0,14177.0,831.0,0
2020-12-17,16:45:00,14177.0,14170.0,14180.0,14169.0,790.0,0
2020-12-17,17:00:00,14169.0,14172.0,14174.0,14168.0,521.0,1
2020-12-17,17:15:00,14172.0,14173.0,14175.0,14171.0,322.0,0
2020-12-17,17:30:00,14173.0,14173.0,14174.0,14169.0,396.0,0
2020-12-17,17:45:00,14173.0,14164.0,14176.0,14163.0,811.0,0
2020-12-17,18:00:00,14164.0,14162.0,14166.0,14161.0,631.0,1
2020-12-17,18:15:00,14162.0,14168.0,14168.0,14162.0,315.0,0
2020-12-17,18:30:00,14168.0,14161.0,14170.0,14161.0,384.0,0
2020-12-17,18:45:00,14161.0,14156.0,14163.0,14155.0,1006.0,0
2020-12-17,19:00:00,14156.0,14162.0,14163.0,14153.0,764.0,0
2020-12-17,19:15:00,14161.0,14165.0,14166.0,14161.0,384.0,0
2020-12-17,19:30:00,14165.0,14161.0,14166.0,14161.0,318.0,0
2020-12-17,19:45:00,14161.0,14159.0,14162.0,14158.0,374.0,0
2020-12-17,20:00:00,14159.0,14166.0,14167.0,14159.0,363.0,0
2020-12-17,20:15:00,14166.0,14161.0,14167.0,14161.0,300.0,0
2020-12-17,20:30:00,14161.0,14163.0,14168.0,14161.0,518.0,0
2020-12-17,20:45:00,14163.0,14166.0,14167.0,14163.0,197.0,0
2020-12-17,21:00:00,14166.0,14170.0,14173.0,14165.0,945.0,0
2020-12-17,21:15:00,14171.0,14165.0,14173.0,14164.0,650.0,0
2020-12-17,21:30:00,14165.0,14161.0,14167.0,14161.0,575.0,1
2020-12-17,21:45:00,14162.0,14149.0,14163.0,14147.0,1576.0,1
2020-12-17,22:00:00,14149.0,14152.0,14159.0,14149.0,1036.0,0
2020-12-17,22:15:00,14153.0,14152.0,14154.0,14142.0,1661.0,1
2020-12-17,22:30:00,14152.0,14162.0,14164.0,14141.0,2710.0,0
2020-12-17,22:45:00,14161.0,14152.0,14165.0,14147.0,1608.0,0
2020-12-17,23:00:00,14153.0,14153.0,14158.0,14150.0,942.0,1
2020-12-17,23:15:00,14154.0,14156.0,14156.0,14145.0,907.0,0
2020-12-17,23:30:00,14156.0,14154.0,14158.0,14151.0,483.0,0
2020-12-17,23:45:00,14155.0,14154.0,14158.0,14150.0,418.0,0
2020-12-18,00:00:00,14153.0,14155.0,14156.0,14148.0,426.0,0
2020-12-18,00:15:00,14155.0,14158.0,14158.0,14154.0,266.0,0
2020-12-18,00:30:00,14158.0,14157.0,14163.0,14154.0,428.0,0
2020-12-18,00:45:00,14157.0,14155.0,14157.0,14147.0,481.0,0
2020-12-18,01:00:00,14156.0,14153.0,14159.0,14152.0,264.0,0
2020-12-18,01:15:00,14153.0,14156.0,14157.0,14152.0,156.0,0
2020-12-18,01:30:00,14156.0,14157.0,14157.0,14154.0,144.0,0
2020-12-18,01:45:00,14157.0,14155.0,14157.0,14154.0,118.0,0
2020-12-18,02:00:00,14155.0,14159.0,14161.0,14155.0,243.0,0
2020-12-18,02:15:00,14160.0,14182.0,14183.0,14158.0,2783.0,0
2020-12-18,02:30:00,14182.0,14178.0,14192.0,14175.0,2163.0,0
2020-12-18,02:45:00,14178.0,14176.0,14181.0,14172.0,260.0,0
2020-12-18,03:00:00,14177.0,14178.0,14182.0,14173.0,254.0,0
2020-12-18,03:15:00,14177.0,14176.0,14180.0,14171.0,207.0,0
2020-12-18,03:30:00,14175.0,14175.0,14179.0,14174.0,98.0,0
2020-12-18,03:45:00,14175.0,14186.0,14186.0,14174.0,284.0,0
2020-12-18,04:00:00,14186.0,14180.0,14191.0,14179.0,534.0,0
2020-12-18,04:15:00,14180.0,14193.0,14198.0,14179.0,1212.0,0
2020-12-18,04:30:00,14193.0,14193.0,14204.0,14191.0,1102.0,0
2020-12-18,04:45:00,14193.0,14197.0,14199.0,14180.0,974.0,0
2020-12-18,05:00:00,14197.0,14198.0,14199.0,14195.0,87.0,0
2020-12-18,08:45:00,14190.0,14183.0,14198.0,14173.0,5435.0,0
2020-12-18,09:00:00,14182.0,14177.0,14199.0,14167.0,10481.0,0
2020-12-18,09:15:00,14175.0,14182.0,14200.0,14168.0,9290.0,0
2020-12-18,09:30:00,14183.0,14177.0,14197.0,14167.0,9766.0,0
2020-12-18,09:45:00,14178.0,14208.0,14222.0,14177.0,12556.0,0
2020-12-18,10:00:00,14209.0,14170.0,14215.0,14163.0,9167.0,1
2020-12-18,10:15:00,14170.0,14156.0,14183.0,14153.0,6686.0,1
2020-12-18,10:30:00,14155.0,14161.0,14169.0,14143.0,8179.0,1
2020-12-18,10:45:00,14161.0,14158.0,14164.0,14134.0,9234.0,1
2020-12-18,11:00:00,14158.0,14162.0,14177.0,14157.0,5435.0,0
2020-12-18,11:15:00,14162.0,14174.0,14186.0,14161.0,5559.0,0
2020-12-18,11:30:00,14174.0,14167.0,14182.0,14166.0,2465.0,0
2020-12-18,11:45:00,14167.0,14172.0,14174.0,14161.0,2324.0,0
2020-12-18,12:00:00,14172.0,14171.0,14179.0,14165.0,1845.0,0
2020-12-18,12:15:00,14171.0,14153.0,14175.0,14146.0,4168.0,0
2020-12-18,12:30:00,14154.0,14157.0,14160.0,14142.0,3086.0,1
2020-12-18,12:45:00,14157.0,14161.0,14167.0,14147.0,2704.0,1
2020-12-18,13:00:00,14161.0,14138.0,14162.0,14138.0,2999.0,1
2020-12-18,13:15:00,14138.0,14138.0,14152.0,14128.0,6022.0,1
2020-12-18,13:30:00,14137.0,14138.0,14151.0,14134.0,3865.0,0
2020-12-18,13:45:00,14138.0,14137.0,14140.0,14135.0,439.0,1
2020-12-18,15:00:00,14140.0,14145.0,14151.0,14139.0,1480.0,0
2020-12-18,15:15:00,14144.0,14143.0,14150.0,14143.0,428.0,0
2020-12-18,15:30:00,14143.0,14142.0,14147.0,14135.0,743.0,0
2020-12-18,15:45:00,14142.0,14135.0,14143.0,14132.0,641.0,0
2020-12-18,16:00:00,14135.0,14143.0,14145.0,14130.0,986.0,0
2020-12-18,16:15:00,14143.0,14152.0,14153.0,14141.0,1296.0,0
2020-12-18,16:30:00,14153.0,14151.0,14154.0,14149.0,568.0,0
2020-12-18,16:45:00,14152.0,14152.0,14158.0,14151.0,846.0,0
2020-12-18,17:00:00,14151.0,14159.0,14166.0,14149.0,1354.0,0
2020-12-18,17:15:00,14159.0,14159.0,14161.0,14156.0,556.0,0
2020-12-18,17:30:00,14159.0,14158.0,14161.0,14154.0,455.0,0
2020-12-18,17:45:00,14158.0,14154.0,14159.0,14152.0,399.0,0
2020-12-18,18:00:00,14154.0,14158.0,14159.0,14154.0,313.0,0
2020-12-18,18:15:00,14158.0,14152.0,14158.0,14152.0,208.0,0
2020-12-18,18:30:00,14153.0,14150.0,14155.0,14147.0,588.0,0
2020-12-18,18:45:00,14149.0,14155.0,14155.0,14149.0,297.0,0
2020-12-18,19:00:00,14155.0,14153.0,14156.0,14153.0,207.0,0
