te_date,te_time,te_open,te_high,te_low,te_close,te_volume,predict
2021-02-05,08:00:00,15809.0,15822.0,15803.0,15839.0,6722,0
2021-02-05,09:00:00,15822.0,15916.0,15751.0,15939.0,51284,0
2021-02-05,10:00:00,15916.0,15786.0,15764.0,15984.0,54268,0
2021-02-05,11:00:00,15787.0,15818.0,15775.0,15859.0,19325,0
2021-02-05,12:00:00,15819.0,15788.0,15778.0,15850.0,14077,0
2021-02-05,13:00:00,15787.0,15804.0,15783.0,15831.0,13017,-1
2021-02-05,15:00:00,15803.0,15797.0,15784.0,15815.0,1849,0
2021-02-05,16:00:00,15796.0,15796.0,15788.0,15806.0,803,0
2021-02-05,17:00:00,15796.0,15806.0,15790.0,15815.0,912,0
2021-02-05,18:00:00,15808.0,15810.0,15805.0,15817.0,652,0
2021-02-05,19:00:00,15810.0,15808.0,15801.0,15814.0,541,0
2021-02-05,20:00:00,15808.0,15798.0,15796.0,15809.0,722,0
2021-02-05,21:00:00,15797.0,15797.0,15786.0,15807.0,1342,0
2021-02-05,22:00:00,15797.0,15783.0,15770.0,15810.0,2794,0
2021-02-05,23:00:00,15783.0,15799.0,15737.0,15801.0,4677,0
2021-02-06,00:00:00,15799.0,15785.0,15782.0,15803.0,1799,0
2021-02-06,01:00:00,15784.0,15799.0,15778.0,15806.0,1087,0
2021-02-06,02:00:00,15799.0,15796.0,15794.0,15808.0,844,0
2021-02-06,03:00:00,15796.0,15797.0,15790.0,15807.0,624,0
2021-02-06,04:00:00,15797.0,15805.0,15789.0,15805.0,924,0
2021-02-06,05:00:00,15804.0,15810.0,15801.0,15810.0,85,0
2021-02-17,08:00:00,16261.0,16236.0,16179.0,16277.0,11128,0
2021-02-17,09:00:00,16235.0,16265.0,16185.0,16399.0,43754,0
2021-02-17,10:00:00,16265.0,16378.0,16263.0,16384.0,12763,0
2021-02-17,11:00:00,16378.0,16418.0,16376.0,16433.0,10598,0
2021-02-17,12:00:00,16417.0,16360.0,16344.0,16426.0,9079,0
2021-02-17,13:00:00,16361.0,16326.0,16310.0,16362.0,10502,0
2021-02-17,15:00:00,16349.0,16375.0,16331.0,16396.0,5118,0
2021-02-17,16:00:00,16378.0,16384.0,16353.0,16389.0,2870,0
2021-02-17,17:00:00,16385.0,16369.0,16363.0,16385.0,1291,0
2021-02-17,18:00:00,16369.0,16371.0,16369.0,16378.0,708,0
2021-02-17,19:00:00,16372.0,16376.0,16367.0,16378.0,734,0
2021-02-17,20:00:00,16375.0,16395.0,16373.0,16400.0,1777,0
2021-02-17,21:00:00,16395.0,16371.0,16361.0,16397.0,2368,0
2021-02-17,22:00:00,16371.0,16353.0,16325.0,16375.0,6950,0
2021-02-17,23:00:00,16353.0,16342.0,16326.0,16363.0,4191,0
2021-02-18,00:00:00,16342.0,16308.0,16282.0,16346.0,5472,0
2021-02-18,01:00:00,16308.0,16331.0,16304.0,16338.0,1832,0
2021-02-18,02:00:00,16332.0,16337.0,16325.0,16343.0,1015,0
2021-02-18,03:00:00,16336.0,16346.0,16323.0,16358.0,1422,0
2021-02-18,04:00:00,16345.0,16354.0,16340.0,16360.0,1470,0
2021-02-18,05:00:00,16353.0,16353.0,16352.0,16354.0,32,0
2021-02-18,08:00:00,16374.0,16357.0,16341.0,16382.0,5166,0
2021-02-18,09:00:00,16358.0,16329.0,16287.0,16369.0,38416,0
2021-02-18,10:00:00,16330.0,16464.0,16305.0,16472.0,32369,0
2021-02-18,11:00:00,16464.0,16391.0,16354.0,16525.0,43105,0
2021-02-18,12:00:00,16392.0,16394.0,16290.0,16395.0,20297,0
2021-02-18,13:00:00,16393.0,16380.0,16379.0,16422.0,13287,0
2021-02-18,15:00:00,16350.0,16336.0,16329.0,16368.0,3647,0
2021-02-18,16:00:00,16336.0,16352.0,16324.0,16355.0,2974,-1
2021-02-18,17:00:00,16353.0,16346.0,16340.0,16359.0,1260,0
2021-02-18,18:00:00,16346.0,16338.0,16333.0,16352.0,764,0
2021-02-18,19:00:00,16338.0,16334.0,16317.0,16339.0,1801,0
2021-02-18,20:00:00,16334.0,16332.0,16328.0,16342.0,1111,0
2021-02-18,21:00:00,16332.0,16305.0,16297.0,16334.0,2744,0
2021-02-18,22:00:00,16304.0,16291.0,16250.0,16304.0,7644,0
2021-02-18,23:00:00,16290.0,16264.0,16233.0,16303.0,7438,0
2021-02-19,00:00:00,16263.0,16279.0,16252.0,16297.0,3524,0
2021-02-19,01:00:00,16279.0,16289.0,16267.0,16292.0,1211,0
2021-02-19,02:00:00,16289.0,16315.0,16281.0,16325.0,2538,0
2021-02-19,03:00:00,16311.0,16319.0,16309.0,16330.0,962,0
2021-02-19,04:00:00,16318.0,16303.0,16296.0,16335.0,1764,0
2021-02-19,05:00:00,16302.0,16303.0,16301.0,16303.0,29,0
2021-02-19,08:00:00,16301.0,16306.0,16288.0,16313.0,3928,0
2021-02-19,09:00:00,16308.0,16243.0,16196.0,16328.0,54445,0
2021-02-19,10:00:00,16242.0,16161.0,16130.0,16268.0,38555,0
2021-02-19,11:00:00,16160.0,16242.0,16148.0,16255.0,23691,0
2021-02-19,12:00:00,16242.0,16278.0,16212.0,16304.0,17818,0
2021-02-19,13:00:00,16279.0,16314.0,16275.0,16323.0,14208,0
2021-02-19,15:00:00,16348.0,16371.0,16343.0,16447.0,7237,0
2021-02-19,16:00:00,16370.0,16371.0,16358.0,16380.0,2236,0
2021-02-19,17:00:00,16371.0,16400.0,16368.0,16412.0,3376,0
2021-02-19,18:00:00,16401.0,16404.0,16394.0,16415.0,1818,0
2021-02-19,19:00:00,16403.0,16387.0,16380.0,16405.0,1948,0
2021-02-19,20:00:00,16388.0,16403.0,16386.0,16408.0,1566,0
2021-02-19,21:00:00,16401.0,16432.0,16397.0,16434.0,2341,0
2021-02-19,22:00:00,16433.0,16435.0,16411.0,16440.0,4208,0
2021-02-19,23:00:00,16435.0,16455.0,16418.0,16460.0,4233,0
2021-02-20,00:00:00,16455.0,16461.0,16455.0,16489.0,4290,0
2021-02-20,01:00:00,16460.0,16403.0,16370.0,16465.0,7372,0
2021-02-20,02:00:00,16403.0,16420.0,16385.0,16425.0,1919,0
2021-02-20,03:00:00,16421.0,16398.0,16386.0,16427.0,1316,0
2021-02-20,04:00:00,16398.0,16403.0,16376.0,16413.0,1671,0
2021-02-20,05:00:00,16403.0,16408.0,16401.0,16408.0,61,0
2021-02-22,08:00:00,16480.0,16475.0,16468.0,16509.0,7972,0
2021-02-22,09:00:00,16473.0,16438.0,16407.0,16564.0,62150,0
2021-02-22,10:00:00,16437.0,16350.0,16336.0,16465.0,33131,0
2021-02-22,11:00:00,16350.0,16406.0,16341.0,16415.0,20118,-1
2021-02-22,12:00:00,16405.0,16390.0,16375.0,16443.0,13639,0
2021-02-22,13:00:00,16391.0,16385.0,16360.0,16406.0,14202,-1
2021-02-22,15:00:00,16365.0,16316.0,16291.0,16376.0,7906,0
2021-02-22,16:00:00,16316.0,16289.0,16270.0,16318.0,4649,-1
2021-02-22,17:00:00,16290.0,16311.0,16289.0,16315.0,2598,0
2021-02-22,18:00:00,16312.0,16308.0,16307.0,16321.0,1435,0
2021-02-22,19:00:00,16308.0,16304.0,16302.0,16325.0,1433,0
2021-02-22,20:00:00,16305.0,16292.0,16279.0,16314.0,2088,0
2021-02-22,21:00:00,16292.0,16297.0,16260.0,16307.0,3760,0
2021-02-22,22:00:00,16298.0,16323.0,16277.0,16335.0,5478,0
2021-02-22,23:00:00,16325.0,16309.0,16300.0,16342.0,5088,0
2021-02-23,00:00:00,16309.0,16345.0,16307.0,16360.0,3928,0
2021-02-23,01:00:00,16346.0,16348.0,16331.0,16354.0,1300,0
2021-02-23,02:00:00,16348.0,16377.0,16347.0,16392.0,3219,0
2021-02-23,03:00:00,16376.0,16372.0,16371.0,16387.0,823,0
2021-02-23,04:00:00,16371.0,16256.0,16242.0,16371.0,5945,0
2021-02-23,05:00:00,16259.0,16257.0,16257.0,16262.0,73,-1
2021-02-23,08:00:00,16223.0,16240.0,16195.0,16248.0,7459,-1
2021-02-23,09:00:00,16239.0,16335.0,16182.0,16355.0,49710,0
2021-02-23,10:00:00,16335.0,16356.0,16292.0,16423.0,29723,0
2021-02-23,11:00:00,16355.0,16342.0,16310.0,16393.0,18426,0
2021-02-23,12:00:00,16343.0,16404.0,16324.0,16413.0,13394,0
2021-02-23,13:00:00,16406.0,16437.0,16402.0,16451.0,17497,0
2021-02-23,15:00:00,16416.0,16404.0,16382.0,16423.0,4629,0
2021-02-23,16:00:00,16404.0,16371.0,16353.0,16407.0,4245,0
2021-02-23,17:00:00,16371.0,16330.0,16325.0,16372.0,5560,0
2021-02-23,18:00:00,16332.0,16313.0,16283.0,16340.0,7258,0
2021-02-23,19:00:00,16312.0,16327.0,16297.0,16331.0,3389,0
2021-02-23,20:00:00,16328.0,16325.0,16306.0,16341.0,2810,0
2021-02-23,21:00:00,16324.0,16312.0,16295.0,16325.0,2502,0
2021-02-23,22:00:00,16314.0,16231.0,16203.0,16318.0,12413,0
2021-02-23,23:00:00,16231.0,16311.0,16231.0,16321.0,9693,0
2021-02-24,00:00:00,16310.0,16283.0,16270.0,16330.0,5967,0
