te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-08,02:30:00,15358.0,15376.0,15378.0,15351.0,446.0,0
2021-01-08,02:45:00,15378.0,15365.0,15378.0,15363.0,323.0,0
2021-01-08,03:00:00,15367.0,15372.0,15376.0,15367.0,314.0,0
2021-01-08,03:15:00,15372.0,15377.0,15391.0,15371.0,631.0,0
2021-01-08,03:30:00,15377.0,15386.0,15386.0,15377.0,232.0,0
2021-01-08,03:45:00,15386.0,15379.0,15386.0,15373.0,213.0,0
2021-01-08,04:00:00,15379.0,15375.0,15387.0,15372.0,394.0,0
2021-01-08,04:15:00,15378.0,15382.0,15385.0,15372.0,392.0,0
2021-01-08,04:30:00,15380.0,15376.0,15380.0,15372.0,503.0,0
2021-01-08,04:45:00,15376.0,15390.0,15390.0,15376.0,720.0,0
2021-01-08,05:00:00,15390.0,15393.0,15394.0,15389.0,87.0,0
2021-01-08,08:45:00,15376.0,15399.0,15422.0,15371.0,10876.0,0
2021-01-08,09:00:00,15400.0,15343.0,15400.0,15320.0,17713.0,1
2021-01-08,09:15:00,15343.0,15370.0,15373.0,15313.0,10145.0,1
2021-01-08,09:30:00,15369.0,15357.0,15394.0,15338.0,10040.0,0
2021-01-08,09:45:00,15355.0,15308.0,15369.0,15272.0,12918.0,0
2021-01-08,10:00:00,15310.0,15334.0,15339.0,15264.0,10378.0,1
2021-01-08,10:15:00,15334.0,15353.0,15369.0,15322.0,5986.0,0
2021-01-08,10:30:00,15353.0,15354.0,15375.0,15334.0,5156.0,0
2021-01-08,10:45:00,15353.0,15330.0,15369.0,15316.0,5908.0,0
2021-01-08,11:00:00,15331.0,15340.0,15342.0,15303.0,5610.0,1
2021-01-08,11:15:00,15341.0,15377.0,15382.0,15338.0,5538.0,0
2021-01-08,11:30:00,15377.0,15380.0,15391.0,15360.0,4432.0,0
2021-01-08,11:45:00,15381.0,15426.0,15440.0,15380.0,9702.0,0
2021-01-08,12:00:00,15427.0,15418.0,15463.0,15403.0,8844.0,0
2021-01-08,12:15:00,15417.0,15385.0,15435.0,15383.0,5525.0,1
2021-01-08,12:30:00,15387.0,15407.0,15413.0,15365.0,5777.0,1
2021-01-08,12:45:00,15408.0,15430.0,15434.0,15408.0,2829.0,0
2021-01-08,13:00:00,15431.0,15450.0,15450.0,15414.0,3755.0,0
2021-01-08,13:15:00,15449.0,15443.0,15473.0,15438.0,6845.0,0
2021-01-08,13:30:00,15442.0,15448.0,15459.0,15442.0,8462.0,0
2021-01-08,13:45:00,15449.0,15454.0,15456.0,15445.0,1026.0,0
2021-01-08,15:00:00,15462.0,15447.0,15467.0,15442.0,1808.0,0
2021-01-08,15:15:00,15447.0,15435.0,15451.0,15415.0,2087.0,0
2021-01-08,15:30:00,15436.0,15433.0,15443.0,15428.0,751.0,0
2021-01-08,15:45:00,15432.0,15443.0,15446.0,15432.0,477.0,0
2021-01-08,16:00:00,15442.0,15427.0,15445.0,15424.0,906.0,0
2021-01-08,16:15:00,15428.0,15432.0,15436.0,15426.0,479.0,0
2021-01-08,16:30:00,15431.0,15436.0,15436.0,15421.0,361.0,0
