soybean_date,soybean_time,soybean_open,soybean_high,soybean_close,soybean_low,soybean_volume,predict
2020-09-22,06:59:00,1028,1028.75,1020.75,1019.5,4132,0
2020-09-22,07:45:00,1020.75,1027.5,1027,1020,2860,0
2020-09-22,08:59:00,1027,1037,1031.25,1027,27734,1
2020-09-22,09:59:00,1031,1032,1025,1025,17067,0
2020-09-22,10:59:00,1025,1029,1026.25,1023.5,17845,1
2020-09-22,11:59:00,1026.25,1027,1020.5,1019.5,13367,0
2020-09-22,12:59:00,1020.25,1022.5,1020.5,1019,8359,0
2020-09-22,13:20:00,1020.75,1021,1019.75,1019,7624,0
2020-09-22,19:59:00,1020.5,1025.5,1022.5,1020,6924,0
2020-09-22,20:59:00,1022.5,1022.5,1021.75,1019.25,2143,0
2020-09-22,21:59:00,1021.75,1022.25,1018.25,1016.75,2152,0
2020-09-22,22:59:00,1018.25,1018.5,1018,1015.5,2502,0
2020-09-22,23:59:00,1018,1018,1017.25,1016.25,861,0
2020-09-23,00:59:00,1017.25,1017.5,1015,1015,1767,0
2020-09-23,01:59:00,1015,1015.5,1011.75,1011,8396,0
2020-09-23,02:59:00,1012,1013.5,1013.5,1011,2384,0
2020-09-23,03:59:00,1013.5,1016.25,1015.75,1012.25,1577,0
2020-09-23,04:59:00,1015.75,1017,1016.75,1014.75,905,0
2020-09-23,05:59:00,1017,1022.5,1019,1016,3073,0
2020-09-23,06:59:00,1019,1019.75,1017,1016,1752,0
2020-09-23,07:45:00,1016.75,1017,1014.75,1013.75,2841,0
2020-09-23,08:59:00,1015.5,1019.75,1018.25,1015.25,16954,0
2020-09-23,09:59:00,1018.5,1024.25,1018.5,1017.5,19103,0
2020-09-23,10:59:00,1018.5,1021.5,1021.25,1016.25,10218,0
2020-09-23,11:59:00,1021.5,1022,1018.75,1017.75,7646,0
2020-09-23,12:59:00,1018.75,1019.25,1016.75,1016.5,5870,0
2020-09-23,13:20:00,1016.75,1017.25,1012.5,1012.25,9993,0
2020-09-23,19:59:00,1012.5,1014.75,1010.5,1008.25,7194,1
2020-09-23,20:59:00,1010.5,1010.75,1003.75,1002.5,11489,0
2020-09-23,21:59:00,1004,1006,1003.75,1003.25,2560,0
2020-09-23,22:59:00,1003.75,1003.75,1003.25,1002,2995,0
2020-09-23,23:59:00,1003,1003.75,1002.75,1002.5,616,0
2020-09-24,00:59:00,1002.75,1004.75,1004.25,1001.5,3876,0
2020-09-24,01:59:00,1004.25,1007.5,1002,1001.5,4836,0
2020-09-24,02:59:00,1002.25,1005.75,1004.75,1001.75,1766,0
2020-09-24,03:59:00,1004.75,1004.75,1003,1002.25,971,0
2020-09-24,04:59:00,1003,1004.25,1002.25,1001.75,1936,0
2020-09-24,05:58:00,1002.25,1002.5,1002.5,1001,1687,0
2020-09-24,06:59:00,1002.25,1005.5,1004.75,999.25,6630,0
2020-09-24,07:45:00,1004.5,1006.5,1005,1003,3353,0
2020-09-24,08:59:00,1004.5,1004.75,1002.5,997.25,26958,0
2020-09-24,09:59:00,1002.25,1004.25,999.5,998.5,14637,0
2020-09-24,10:59:00,999.5,1000.25,998.5,997.75,9600,0
2020-09-24,11:59:00,998.5,1001.75,1001.5,998,16594,0
2020-09-24,12:59:00,1001.25,1004.5,1002.25,1000,9113,0
2020-09-24,13:20:00,1002.25,1003,998.75,998.75,9198,0
2020-09-24,19:59:00,999,1002.75,1002.75,998,3718,0
2020-09-24,20:59:00,1003,1003.25,998.5,998.25,2189,0
2020-09-24,21:59:00,998.75,1000,999.75,998.25,1286,0
2020-09-24,22:58:00,999.75,1000.75,999,998.5,711,0
2020-09-24,23:59:00,999.25,1000.25,1000.25,998.75,446,0
2020-09-25,00:59:00,1000.25,1000.5,998.75,998.75,885,0
2020-09-25,01:59:00,998.75,1001.25,1001.25,998.25,932,0
2020-09-25,02:59:00,1001.25,1003.5,1001.75,999.75,2115,0
2020-09-25,03:59:00,1001.75,1003,1002.5,1001,638,0
2020-09-25,04:59:00,1002.75,1003.25,1001.75,1000.5,1319,0
2020-09-25,05:59:00,1001.75,1001.75,999,999,1229,0
2020-09-25,06:59:00,999,1000,999.25,998.75,1233,0
2020-09-25,07:45:00,999.25,1001.25,1001,995.25,4773,0
2020-09-25,08:59:00,1000.75,1001.75,1001,996.75,11270,0
2020-09-25,09:59:00,1001,1008,1005.5,1000.5,21967,0
2020-09-25,10:59:00,1005.75,1007.5,1005,1003.75,9725,0
2020-09-25,11:59:00,1005.25,1006,1005.5,1003,6359,0
2020-09-25,12:59:00,1005.5,1006.5,1004.5,1004,5774,0
2020-09-25,13:20:00,1004.5,1005,1001.25,1001.25,10223,0
2020-09-27,19:59:00,1002,1003.5,1000,997.5,5998,0
